"I feel you.",0.1,否
"I work in sales.",0.8,是
"Hey!",0.1,否
"My dog's name is Buddy.",0.7,是
"I skipped chemistry class today.",0.5,否
"I need to wash the dishes tomorrow.",0.4,否
"I have back pain today.",0.5,否
"I might work abroad next year.",0.6,否
"I enjoy knitting and sewing.",0.5,是
"I have an appointment with a therapist on Tuesday.",0.8,是
"I love stand-up comedy.",0.5,是
"My best friend is getting married.",0.7,否
"I have to pay my credit card bill tomorrow.",0.4,否
"I have a stomach ache.",0.5,否
"I have a dentist appointment next week.",0.6,否
"I'm proud of myself.",0.3,否
"Are you busy?",0.1,否
"I need to do laundry tomorrow.",0.4,否
"I have a full-time job.",0.8,是
"I live in a small apartment.",0.8,是
"I have to finish my thesis.",0.5,否
"I have an appointment with a therapist on Tuesday.",0.8,是
"I'm a nurse.",0.8,是
"I am a cancer survivor.",0.9,是
"I'm saving up for a new phone.",0.4,否
"I had a team building event yesterday.",0.5,否
"My grandma is in the hospital.",0.7,否
"I'm allergic to dust.",0.8,是
"I had an argument with my friend yesterday.",0.5,否
"I work from home two days a week.",0.8,是
"I stayed home sick today.",0.4,否
"I got a scholarship for college.",0.7,否
"I don't have any siblings.",0.7,是
"I got accepted into college.",0.8,是
"I don't smoke.",0.5,是
"I just got back from vacation.",0.5,否
"I don't see my family often.",0.5,否
"I prefer tea over coffee.",0.4,是
"I'm interested in astronomy.",0.5,是
"I have to take insulin daily.",0.8,是
"I'm grateful for my friends and family.",0.3,否
"I have high blood pressure.",0.8,是
"I'm growing out my hair.",0.4,否
"I see a therapist every week for my anxiety.",0.9,是
"I love my job.",0.4,否
"I argue with my siblings sometimes.",0.5,否
"I have a pet rabbit.",0.7,是
"I have a meeting at 2 PM on Tuesday.",0.5,否
"I'm feeling a bit down today.",0.3,否
"I love exploring new cuisines.",0.5,是
"I lost my wallet yesterday.",0.6,否
"I'm a stay-at-home mom.",0.7,是
"I should take better care of myself.",0.4,否
"Good morning!",0.1,否
"I grew up in this city.",0.7,是
"I got accepted into college.",0.8,是
"I'm practicing Spanish every day.",0.7,是
"I feel lonely sometimes.",0.3,否
"I think I'm catching a cold.",0.4,否
"I work part-time at a cafe.",0.8,是
"I had chickenpox as a child.",0.8,是
"I like movies and music.",0.5,是
"I like sports and video games.",0.5,是
"I'm divorced.",0.8,是
"I have an exam next week.",0.5,否
"I have two kids.",0.9,是
"I don't enjoy sports.",0.5,是
"I work in customer service.",0.8,是
"I need to go to the bank tomorrow.",0.4,否
"I live with my parents.",0.6,是
"My aunt is visiting us this week.",0.6,否
"I hope I get the job.",0.4,否
"I need to finish this report by Friday.",0.5,否
"I'm allergic to penicillin.",0.8,是
"I love music and dancing.",0.5,是
"Today was a bad day.",0.4,否
"I'm majoring in physics.",0.7,是
"I quit smoking last year.",0.5,是
"I have chronic back pain.",0.8,是
"I found my wallet under the couch yesterday.",0.3,否
"I stayed up late last night.",0.3,否
"I'm not very good at cooking.",0.5,是
"I need to drink more water to stay hydrated.",0.6,否
"I wrote a paper for class.",0.5,否
"I'm sorry.",0.1,否
"I love cooking because it helps me relax.",0.5,否
"I have class from 9 to 3 today.",0.5,否
"I cut my finger while chopping vegetables.",0.4,否
"I need to visit my doctor for test results.",0.6,否
"My job involves a lot of travel.",0.8,是
"I can't believe it.",0.1,否
"I work for a tech startup.",0.8,是
"I need to schedule my annual check-up tomorrow.",0.6,否
"I start a new job next month.",0.9,是
"I moved to this city two years ago.",0.8,是
"I'm an only child.",0.7,是
"I need a cup of coffee.",0.2,否
"I'm not very good at cooking.",0.5,是
"My internet is really slow today.",0.2,否
"My rent is expensive.",0.4,否
"I went shopping with Michael last weekend.",0.4,否
"I need to take my car to the shop.",0.4,否
"I hope my hard work pays off.",0.4,否
"I was born in 1990.",0.9,是
"I see a therapist every week for my anxiety.",0.9,是
"Thanks!",0.1,否
"I have a 3-year-old son.",0.8,是
"I need to buy groceries tomorrow.",0.4,否
"I overslept this morning.",0.3,否
"I was diagnosed with high blood pressure recently.",0.8,是
"Please remind me to call the doctor.",0.1,否
"I'm an engineer.",0.8,是
"I need to call my friend to catch up tomorrow.",0.4,否
"We'll see.",0.1,否
"I joined a book club.",0.5,是
"I work in a team of five people.",0.8,是
"I'm trying to quit smoking.",0.6,是
"I have a twin brother.",0.7,是
"Of course.",0.1,否
"I like reading and writing.",0.5,是
"I love skiing in the winter.",0.5,是
"I missed the bus this morning.",0.3,否
"I prefer tea over coffee.",0.4,是
"I had a busy day yesterday.",0.5,否
"I have a meeting this afternoon.",0.5,否
"I got fired from my job.",0.8,是
"I'm going to the gym tonight.",0.5,否
"It depends.",0.1,否
"I'm trying to eat healthier lately.",0.6,否
"I'm an only child.",0.7,是
"I had surgery last year.",0.7,否
"Don't worry.",0.1,否
"I was born in July.",0.9,是
"I started taking yoga classes for my back pain.",0.7,是
"I just started an internship.",0.6,否
"I like to spend time in nature.",0.5,是
"I'm going out for dinner with friends.",0.5,否
"I have to work overtime this week.",0.5,否
"I'm the oldest of three siblings.",0.7,是
"I failed my driving test.",0.6,否
"I have to pay my credit card bill tomorrow.",0.4,否
"Good luck!",0.1,否
"My boss is giving me a hard time.",0.5,否
"I have to pay my credit card bill.",0.4,否
"I need to buy groceries.",0.4,否
"I have an exam next week.",0.5,否
"I need to do laundry tomorrow.",0.4,否
"I live in a big city.",0.8,是
"I like cooking and baking.",0.5,是
"I'm the oldest of three siblings.",0.7,是
"I need to prepare a presentation for tomorrow.",0.5,否
"We are expecting a baby.",1.0,是
"I like to cook and bake.",0.5,是
"I'm allergic to pollen.",0.8,是
"I'm interested in astronomy.",0.5,是
"I just got engaged.",0.9,是
